Legend:,,,,
,,,,
1-P =,Untitled 1 Process,,,
,,,,
,,,,
Interval:,1,Seconds,,
DataPoint,LogDate,LogTime,1-P °F,celsius 
339,2/23/2023,6:28:01 PM,404,206.6666667
340,2/23/2023,6:28:02 PM,403,206.1111111
341,2/23/2023,6:28:03 PM,403,206.1111111
342,2/23/2023,6:28:04 PM,403,206.1111111
343,2/23/2023,6:28:05 PM,403,206.1111111
344,2/23/2023,6:28:06 PM,403,206.1111111
345,2/23/2023,6:28:07 PM,402,205.5555556
346,2/23/2023,6:28:08 PM,402,205.5555556
347,2/23/2023,6:28:09 PM,402,205.5555556
348,2/23/2023,6:28:10 PM,402,205.5555556
349,2/23/2023,6:28:11 PM,401,205
350,2/23/2023,6:28:12 PM,401,205
351,2/23/2023,6:28:13 PM,401,205
352,2/23/2023,6:28:14 PM,401,205
353,2/23/2023,6:28:15 PM,401,205
354,2/23/2023,6:28:16 PM,400,204.4444444
355,2/23/2023,6:28:17 PM,400,204.4444444
356,2/23/2023,6:28:18 PM,400,204.4444444
357,2/23/2023,6:28:19 PM,400,204.4444444
358,2/23/2023,6:28:20 PM,400,204.4444444
359,2/23/2023,6:28:21 PM,399,203.8888889
360,2/23/2023,6:28:22 PM,399,203.8888889
361,2/23/2023,6:28:23 PM,399,203.8888889
362,2/23/2023,6:28:24 PM,399,203.8888889
363,2/23/2023,6:28:25 PM,399,203.8888889
364,2/23/2023,6:28:26 PM,398,203.3333333
365,2/23/2023,6:28:27 PM,398,203.3333333
366,2/23/2023,6:28:28 PM,398,203.3333333
367,2/23/2023,6:28:29 PM,398,203.3333333
368,2/23/2023,6:28:30 PM,397,202.7777778
369,2/23/2023,6:28:31 PM,397,202.7777778
370,2/23/2023,6:28:32 PM,397,202.7777778
371,2/23/2023,6:28:33 PM,397,202.7777778
372,2/23/2023,6:28:34 PM,396,202.2222222
373,2/23/2023,6:28:35 PM,396,202.2222222
374,2/23/2023,6:28:36 PM,396,202.2222222
375,2/23/2023,6:28:37 PM,396,202.2222222
376,2/23/2023,6:28:38 PM,395,201.6666667
377,2/23/2023,6:28:39 PM,395,201.6666667
378,2/23/2023,6:28:40 PM,395,201.6666667
379,2/23/2023,6:28:41 PM,395,201.6666667
380,2/23/2023,6:28:42 PM,394,201.1111111
381,2/23/2023,6:28:43 PM,394,201.1111111
382,2/23/2023,6:28:44 PM,394,201.1111111
383,2/23/2023,6:28:45 PM,394,201.1111111
384,2/23/2023,6:28:46 PM,394,201.1111111
385,2/23/2023,6:28:47 PM,393,200.5555556
386,2/23/2023,6:28:48 PM,393,200.5555556
387,2/23/2023,6:28:49 PM,393,200.5555556
388,2/23/2023,6:28:50 PM,393,200.5555556
389,2/23/2023,6:28:51 PM,392,200
390,2/23/2023,6:28:52 PM,392,200
391,2/23/2023,6:28:53 PM,392,200
392,2/23/2023,6:28:54 PM,392,200
393,2/23/2023,6:28:55 PM,392,200
394,2/23/2023,6:28:56 PM,391,199.4444444
395,2/23/2023,6:28:57 PM,391,199.4444444
396,2/23/2023,6:28:58 PM,391,199.4444444
397,2/23/2023,6:28:59 PM,391,199.4444444
398,2/23/2023,6:29:00 PM,390,198.8888889
399,2/23/2023,6:29:01 PM,390,198.8888889
400,2/23/2023,6:29:02 PM,390,198.8888889
401,2/23/2023,6:29:03 PM,390,198.8888889
402,2/23/2023,6:29:04 PM,389,198.3333333
403,2/23/2023,6:29:05 PM,389,198.3333333
404,2/23/2023,6:29:06 PM,389,198.3333333
405,2/23/2023,6:29:07 PM,389,198.3333333
406,2/23/2023,6:29:08 PM,388,197.7777778
407,2/23/2023,6:29:09 PM,388,197.7777778
408,2/23/2023,6:29:10 PM,388,197.7777778
409,2/23/2023,6:29:11 PM,388,197.7777778
410,2/23/2023,6:29:12 PM,387,197.2222222
411,2/23/2023,6:29:13 PM,387,197.2222222
412,2/23/2023,6:29:14 PM,387,197.2222222
413,2/23/2023,6:29:15 PM,387,197.2222222
