Test : Rate 1,"2.54000",mm/min
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(kN)
"74.50000","3.15388","3.29084"
"74.60000","3.15810","3.29136"
"74.70000","3.16250","3.29182"
"74.80000","3.16653","3.28968"
"74.90000","3.17075","3.29028"
"75.00000","3.17515","3.29143"
"75.10000","3.17937","3.28999"
"75.20000","3.18340","3.28910"
"75.30000","3.18780","3.29030"
"75.40000","3.19211","3.28906"
"75.50000","3.19614","3.28715"
"75.60000","3.20036","3.28836"
"75.70000","3.20476","3.28832"
"75.80000","3.20898","3.28625"
"75.90000","3.21310","3.28666"
"76.00000","3.21742","3.28814"
"76.10000","3.22173","3.28603"
"76.20000","3.22576","3.28442"
"76.30000","3.23007","3.28606"
"76.40000","3.23447","3.28533"
"76.50000","3.23850","3.28300"
"76.60000","3.24272","3.28438"
"76.70000","3.24712","3.28426"
"76.80000","3.25134","3.28255"
"76.90000","3.25537","3.28210"
"77.00000","3.25977","3.28324"
"77.10000","3.26408","3.28156"
"77.20000","3.26811","3.28012"
"77.30000","3.27242","3.28118"
"77.40000","3.27673","3.28051"
"77.50000","3.28095","3.27838"
"77.60000","3.28507","3.27842"
"77.70000","3.28948","3.27938"
"77.80000","3.29360","3.27654"
"77.90000","3.29772","3.27590"
"78.00000","3.30213","3.27716"
"78.10000","3.30644","3.27567"
"78.20000","3.31047","3.27383"
"78.30000","3.31478","3.27498"
"78.40000","3.31918","3.27421"
"78.50000","3.32330","3.27192"
"78.60000","3.32743","3.27062"
"78.70000","3.33174","3.27153"
"78.80000","3.33595","3.26909"
"78.90000","3.34008","3.26871"
"79.00000","3.34439","3.26923"
"79.10000","3.34879","3.26774"
"79.20000","3.35282","3.26583"
"79.30000","3.35704","3.26655"
"79.40000","3.36135","3.26598"
"79.50000","3.36566","3.26358"
"79.60000","3.36969","3.26331"
"79.70000","3.37409","3.26369"
"79.80000","3.37840","3.26131"
"79.90000","3.38243","3.25979"
"80.00000","3.38665","3.26046"
"80.10000","3.39115","3.25935"
"80.20000","3.39527","3.25637"
"80.30000","3.39939","3.25652"
"80.40000","3.40380","3.25660"
"80.50000","3.40801","3.25422"
